%rax,ret,System call,%rdi,%rsi,%rdx,%r10,%r8,%r9
146,,okillpg,is obsolete,,,,,
147,int,setsid,,,,,,
148,int,quotactl,const char *,int,int,char *,,
149,,oquota,is obsolete,,,,,
150,,ogetsockname,is obsolete,,,,,
155,int,nfssvc,int,void *,,,,
156,,ogetdirentries,is obsolete,,,,,
157,,statfs25,is obsolete,,,,,
158,,fstatfs25,is obsolete,,,,,
161,,int,getfh,const char *,fhandle_t *,,,
162,,ogetdomainname,is obsolete,,,,,
163,,osetdomainname,is obsolete,,,,,
164,int,__tmpfd,int,,,,,
165,int,sysarch,int,void *,,,,
166,off_t,lseek,int,off_t,int,,,
167,int,truncate,const char *,off_t,,,,
168,int,ftruncate,int,off_t,,,,
169,ssize_t,pread,int,void *,size_t,off_t,,
170,ssize_t,pwrite,int,const void *,size_t,off_t,,
171,ssize_t,preadv,int,const struct iovec *,int,off_t,,
172,ssize_t,pwritev,int,const struct iovec *,int,off_t,,
173,ssize_t,pad_pread,int,void *,size_t,int,off_t,
174,ssize_t,pad_pwrite,int,const void *,size_t,int,off_t,
181,int,setgid,gid_t,,,,,
182,int,setegid,gid_t,,,,,
183,int,seteuid,uid_t,,,,,
184,,lfs_bmapv,is obsolete,,,,,
185,,lfs_markv,is obsolete,,,,,
186,,lfs_segclean,is obsolete,,,,,
187,,lfs_segwait,is obsolete,,,,,
188,,stat35,is obsolete,,,,,
189,,fstat35,is obsolete,,,,,
190,,lstat35,is obsolete,,,,,
191,long,pathconf,const char *,int,,,,
192,long,fpathconf,int,int,,,,
193,int,swapctl,int,const void *,int,,,
194,int,getrlimit,int,struct rlimit *,,,,
195,int,setrlimit,int,const struct rlimit *,,,,
196,,ogetdirentries48,is obsolete,,,,,
197,void *,pad_mmap,void *,size_t,int,int,int,long
198,quad_t,__syscall,quad_t,...,,,,
199,off_t,pad_lseek,int,int,off_t,int,,
200,int,pad_truncate,const char *,int,off_t,,,
201,int,pad_ftruncate,int,int,off_t,,,
202,int,sysctl,const int *,u_int,void *,size_t *,void *,size_t
203,int,mlock,const void *,size_t,,,,
204,int,munlock,const void *,size_t,,,,
206,,t32_futimes,is obsolete,,,,,
207,pid_t,getpgid,pid_t,,,,,
208,,nnpfspioctl,is obsolete,,,,,
209,int,utrace,const char *,const void *,size_t,,,
221,int,semget,key_t,int,int,,,
222,,semop35,is obsolete,,,,,
223,,semconfig35,is obsolete,,,,,
225,int,msgget,key_t,int,,,,
226,int,msgsnd,int,const void *,size_t,int,,
227,int,msgrcv,int,void *,size_t,long,int,
228,void *,shmat,int,const void *,int,,,
230,int,shmdt,const void *,,,,,
231,,shmget35,is obsolete,,,,,
232,,t32_clock_gettime,is obsolete,,,,,
233,,t32_clock_settime,is obsolete,,,,,
234,,t32_clock_getres,is obsolete,,,,,
240,,t32_nanosleep,is obsolete,,,,,
250,int,minherit,void *,size_t,int,,,
251,,rfork,is obsolete,,,,,
252,int,poll,struct pollfd *,u_int,int,,,
253,int,issetugid,,,,,,
254,int,lchown,const char *,uid_t,gid_t,,,
255,pid_t,getsid,pid_t,,,,,
256,int,msync,void *,size_t,int,,,
257,,semctl35,is obsolete,,,,,
258,,shmctl35,is obsolete,,,,,
259,,msgctl35,is obsolete,,,,,
263,int,pipe,int *,,,,,
264,int,fhopen,const fhandle_t *,int,,,,
267,ssize_t,pad_preadv,int,const struct iovec *,int,int,off_t,
268,ssize_t,pad_pwritev,int,const struct iovec *,int,int,off_t,
269,int,kqueue,,,,,,
270,,t32_kevent,is obsolete,,,,,
271,int,mlockall,int,,,,,
272,int,munlockall,,,,,,
281,int,getresuid,uid_t *,uid_t *,uid_t *,,,
282,int,setresuid,uid_t,uid_t,uid_t,,,
283,int,getresgid,gid_t *,gid_t *,gid_t *,,,
284,int,setresgid,gid_t,gid_t,gid_t,,,
285,,sys_omquery,is obsolete,,,,,
286,void *,pad_mquery,void *,size_t,int,int,int,long
287,int,closefrom,int,,,,,
288,int,sigaltstack,const struct sigaltstack *,struct sigaltstack *,,,,
289,int,shmget,key_t,size_t,int,,,
290,int,semop,int,struct sembuf *,size_t,,,
291,,t32_stat,is obsolete,,,,,
292,,t32_fstat,is obsolete,,,,,
293,,t32_lstat,is obsolete,,,,,
294,int,fhstat,const fhandle_t *,struct stat *,,,,
295,int,__semctl,int,int,int,union semun *,,
296,int,shmctl,int,int,struct shmid_ds *,,,
297,int,msgctl,int,int,struct msqid_ds *,,,
298,int,sched_yield,,,,,,
299,pid_t,getthrid,,,,,,
300,,t32___thrsleep,is obsolete,,,,,
301,int,__thrwakeup,const volatile void *,int,,,,
302,void,__threxit,pid_t *,,,,,
303,int,__thrsigdivert,sigset_t,siginfo_t *,const struct timespec *,,,
304,int,__getcwd,char *,size_t,,,,
305,int,adjfreq,const int64_t *,int64_t *,,,,
306,,getfsstat53,is obsolete,,,,,
307,,statfs53,is obsolete,,,,,
308,,fstatfs53,is obsolete,,,,,
309,,fhstatfs53,is obsolete,,,,,
310,int,setrtable,int,,,,,
311,int,getrtable,,,,,,
312,,t32_getdirentries,is obsolete,,,,,
313,int,faccessat,int,const char *,int,int,,
314,int,fchmodat,int,const char *,mode_t,int,,
315,int,fchownat,int,const char *,uid_t,gid_t,int,
316,,t32_fstatat,is obsolete,,,,,
317,int,linkat,int,const char *,int,const char *,int,
318,int,mkdirat,int,const char *,mode_t,,,
319,int,mkfifoat,int,const char *,mode_t,,,
320,int,mknodat,int,const char *,mode_t,dev_t,,
321,int,openat,int,const char *,int,...,,
322,ssize_t,readlinkat,int,const char *,char *,size_t,,
323,int,renameat,int,const char *,int,const char *,,
324,int,symlinkat,const char *,int,const char *,,,
325,int,unlinkat,int,const char *,int,,,
326,,t32_utimensat,is obsolete,,,,,
327,,t32_futimens,is obsolete,,,,,
328,,__tfork51,is obsolete,,,,,
329,void,__set_tcb,void *,,,,,
330,void *,__get_tcb,,,,,,
331,,SYS_MAXSYSCALL,,,,,,
